epoch,step,loss,distance
1,1,-8.256860746769235e-05,8.256860746769235e-05
1,2,-8.098044781945646e-05,8.098044781945646e-05
1,3,-0.00021365347492974252,0.00021365347492974252
1,4,-0.0004938608035445213,0.0004938608035445213
1,5,-0.0009335885988548398,0.0009335885988548398
1,6,-0.0015859499108046293,0.0015859499108046293
1,7,-0.002334975404664874,0.002334975404664874
1,8,-0.003491744864732027,0.003491744864732027
1,9,-0.0045501310378313065,0.0045501310378313065
1,10,-0.0059463875368237495,0.0059463875368237495
1,11,-0.007467660121619701,0.007467660121619701
1,12,-0.00944121740758419,0.00944121740758419
1,13,-0.011302636936306953,0.011302636936306953
1,14,-0.012988567352294922,0.012988567352294922
1,15,-0.015458842739462852,0.015458842739462852
1,16,-0.01791609823703766,0.01791609823703766
1,17,-0.02104177325963974,0.02104177325963974
1,18,-0.02379874512553215,0.02379874512553215
1,19,-0.026427704840898514,0.026427704840898514
1,20,-0.031419213861227036,0.031419213861227036
1,21,-0.03360723331570625,0.03360723331570625
1,22,-0.03774557262659073,0.03774557262659073
1,23,-0.040626317262649536,0.040626317262649536
1,24,-0.04938317835330963,0.04938317835330963
1,25,-0.05082820728421211,0.05082820728421211
1,26,-0.05594393238425255,0.05594393238425255
1,27,-0.06057904660701752,0.06057904660701752
1,28,-0.06359471380710602,0.06359471380710602
1,29,-0.0701514184474945,0.0701514184474945
1,30,-0.07565063238143921,0.07565063238143921
1,31,-0.08076117187738419,0.08076117187738419
1,32,-0.0865822583436966,0.0865822583436966
1,33,-0.09214965999126434,0.09214965999126434
1,34,-0.09697738289833069,0.09697738289833069
1,35,-0.10557421296834946,0.10557421296834946
1,36,-0.11049492657184601,0.11049492657184601
1,37,-0.11533090472221375,0.11533090472221375
1,38,-0.12706118822097778,0.12706118822097778
1,39,-0.13263297080993652,0.13263297080993652
1,40,-0.13797584176063538,0.13797584176063538
1,41,-0.14651677012443542,0.14651677012443542
1,42,-0.1571141481399536,0.1571141481399536
1,0,nan,0.16123105138540267
2,1,-0.161391019821167,0.161391019821167
2,2,-0.16657805442810059,0.16657805442810059
2,3,-0.17950718104839325,0.17950718104839325
2,4,-0.18601557612419128,0.18601557612419128
2,5,-0.1967000514268875,0.1967000514268875
2,6,-0.1977592557668686,0.1977592557668686
2,7,-0.2071196436882019,0.2071196436882019
2,8,-0.2210310995578766,0.2210310995578766
2,9,-0.22321246564388275,0.22321246564388275
2,10,-0.2390080988407135,0.2390080988407135
2,11,-0.2486061006784439,0.2486061006784439
2,12,-0.25108957290649414,0.25108957290649414
2,13,-0.25767165422439575,0.25767165422439575
2,14,-0.2727362811565399,0.2727362811565399
2,15,-0.28616756200790405,0.28616756200790405
2,16,-0.2863527238368988,0.2863527238368988
2,17,-0.29435116052627563,0.29435116052627563
2,18,-0.3105485439300537,0.3105485439300537
2,19,-0.3085342347621918,0.3085342347621918
2,20,-0.32091227173805237,0.32091227173805237
2,21,-0.33313262462615967,0.33313262462615967
2,22,-0.3414899706840515,0.3414899706840515
2,23,-0.34967878460884094,0.34967878460884094
2,24,-0.34997957944869995,0.34997957944869995
2,25,-0.37281227111816406,0.37281227111816406
2,26,-0.36641764640808105,0.36641764640808105
2,27,-0.37714654207229614,0.37714654207229614
2,28,-0.3818995952606201,0.3818995952606201
2,29,-0.3984830379486084,0.3984830379486084
2,30,-0.41729795932769775,0.41729795932769775
2,31,-0.41582542657852173,0.41582542657852173
2,32,-0.4246373474597931,0.4246373474597931
2,33,-0.42635270953178406,0.42635270953178406
2,34,-0.42912691831588745,0.42912691831588745
2,35,-0.4559451937675476,0.4559451937675476
2,36,-0.44376140832901,0.44376140832901
2,37,-0.4697299599647522,0.4697299599647522
2,38,-0.4523617625236511,0.4523617625236511
2,39,-0.47835642099380493,0.47835642099380493
2,40,-0.47513318061828613,0.47513318061828613
2,41,-0.49064797163009644,0.49064797163009644
2,42,-0.49296990036964417,0.49296990036964417
2,0,nan,0.49636694192886355
3,1,-0.4856018126010895,0.4856018126010895
3,2,-0.5089585781097412,0.5089585781097412
3,3,-0.5221887826919556,0.5221887826919556
3,4,-0.5125166177749634,0.5125166177749634
3,5,-0.5303012132644653,0.5303012132644653
3,6,-0.5299137830734253,0.5299137830734253
3,7,-0.5290551781654358,0.5290551781654358
3,8,-0.5481081008911133,0.5481081008911133
3,9,-0.5417619943618774,0.5417619943618774
3,10,-0.5610821843147278,0.5610821843147278
3,11,-0.5554383993148804,0.5554383993148804
3,12,-0.5468693375587463,0.5468693375587463
3,13,-0.5648407936096191,0.5648407936096191
3,14,-0.5831006765365601,0.5831006765365601
3,15,-0.5638027191162109,0.5638027191162109
3,16,-0.5927397608757019,0.5927397608757019
3,17,-0.5931634902954102,0.5931634902954102
3,18,-0.5908499956130981,0.5908499956130981
3,19,-0.5893703699111938,0.5893703699111938
3,20,-0.5991026759147644,0.5991026759147644
3,21,-0.5830340385437012,0.5830340385437012
3,22,-0.6057905554771423,0.6057905554771423
3,23,-0.6115666627883911,0.6115666627883911
3,24,-0.6069991588592529,0.6069991588592529
3,25,-0.6020715236663818,0.6020715236663818
3,26,-0.6276819705963135,0.6276819705963135
3,27,-0.6250200271606445,0.6250200271606445
3,28,-0.6314202547073364,0.6314202547073364
3,29,-0.6223897337913513,0.6223897337913513
3,30,-0.6193389892578125,0.6193389892578125
3,31,-0.6508767604827881,0.6508767604827881
3,32,-0.6147605180740356,0.6147605180740356
3,33,-0.6448608040809631,0.6448608040809631
3,34,-0.630700945854187,0.630700945854187
3,35,-0.6435149908065796,0.6435149908065796
3,36,-0.6447895169258118,0.6447895169258118
